status_id,retweet_count,favorite_count
874434818259525634,12739,0
874296783580663808,3631,23778
874057562936811520,3503,20746
874012996292530176,8967,31138
873580283840344065,3460,22123
873337748698140672,1389,0
873213775632977920,1389,6544
872967104147763200,4749,24882
872820683541237760,3277,13476
872620804844003328,3207,18956
872486979161796608,8023,37260
872122724285648897,7150,31284
871879754684805121,9644,34286
871762521631449091,3075,18490
871515927908634625,3062,18461
871166179821445120,5057,0
871102520638267392,4869,19155
871032628920680449,3365,20821
870804317367881728,5468,30786
870726314365509632,3,110
870656317836468226,2303,11251
870374049280663552,23628,76309
870308999962521604,3678,20101
870063196459192321,7362,33457
869772420881756160,9025,39136
869702957897576449,5582,25865
869596645499047938,2757,14673
869227993411051520,3342,18740
868880397819494401,12786,59947
868639477480148993,1826,0
868622495443632128,4693,24413
868552278524837888,1826,9266
867900495410671616,3727,22283
867774946302451713,6528,31242
867421006826221569,2219,14788
867072653475098625,106,0
867051520902168576,7044,29619
866720684873056260,4298,18394
866686824827068416,3086,17728
866450705531457537,31527,112497
866334964761202691,12739,48168
866094527597207552,7491,0
865718153858494464,5043,23707
865359393868664832,4485,24407
865006731092295680,6937,25868
864873206498414592,7789,29738
864279568663928832,2704,13497
864197398364647424,7913,27629
863907417377173506,3727,19075
863553081350529029,3776,14091
863471782782697472,2169,0
863432100342583297,4729,21998
863427515083354112,84,2028
863079547188785154,999,8133
863062471531167744,2169,7785
862831371563274240,4630,17760
862722525377298433,3211,15848
862457590147678208,4434,18883
862096992088072192,20866,68588
861383897657036800,9684,33427
861288531465048066,3739,15908
861005113778896900,3462,15499
860981674716409858,1934,0
860924035999428608,707,0
860563773140209665,1934,6952
860524505164394496,4795,21980
860276583193509888,3189,17117
860184849394610176,5320,15476
860177593139703809,27984,0
859924526012018688,3721,18244
859851578198683649,3201,14393
859607811541651456,1409,17367
859196978902773760,27379,83452
859074603037188101,12438,31452
858860390427611136,7386,0
858843525470990336,3162,14575
858471635011153920,4441,20149
858107933456039936,2642,14702
857989990357356544,2361,14993
857746408056729600,9726,31925
